source_key,title,url,date,type,via
wiki-09604-1,Hội đồng nhân dân phường Tùng Thiện khóa II thông qua 05 nghị quyết quan trọng tại kỳ họp thường lệ giữa năm 2026,https://dbndhanoi.gov.vn/bai-viet/hdnd-phuong-tung-thien-khoa-ii-thong-qua-05-nghi-quyet-quan-trong-tai-ky-hop-thuong-le-giua-nam-2026,2026-06-30,wikipedia-ref,
wiki-09604-2,"Nghị quyết số 11/NQ-HĐND ngày 29 tháng 7 năm 2025 của Hội đồng nhân dân phường Tùng Thiện về việc chuyển đổi thôn thành tổ dân phố, đổi tên tổ dân phố do trùng số tự nhiên và sắp xếp các tổ dân phố còn 1 phần thuộc phường Tùng Thiện sau sắp xếp đơn vị hành chính tại phường Tùng Thiện, thành phố Hà Nội",https://storage-vnportal.vnpt.vn/gov-hni/7047/VanBan/2025/8/2/nq11%2029.7.2025%20H%C4%90ND%20ph%C6%B0%E1%BB%9Dng%20v%E1%BB%81%20%C4%91%E1%BB%95i%20t%C3%AAn%20TDP.pdf,2026-07-13,wikipedia-ref,
wiki-09604-3,Phường Tùng thiện lấy ý kiến nhân dân về đề án sắp xếp tổ dân phố,https://tungthien.hanoi.gov.vn/tin-tuc-su-kien/phuong-tung-thien-lay-y-kien-nhan-dan-ve-de-an-sap-xep-to-dan-pho-2694260617155201594.htm,2026-06-17,wikipedia-ref,
wiki-09616-1,"Nghị quyết ngày 18/NQ-HĐND ngày 29 tháng 6 năm 2026 của Hội đồng nhân dân xã Đoài Phương về việc thành lập, sắp xếp, tổ chức lại thôn, đổi tên thôn trên địa bàn xã Đoài Phương, thành phố Hà Nội",https://datafiles.hanoi.gov.vn/gov-hni/7045/VanBan/2026/7/1/NQ%2018%20s%E1%BA%AFp%20x%E1%BA%BFp%20th%C3%B4n.pdf,2026-07-14,wikipedia-ref,
wiki-09616-2,"Công bố danh sách trích ngang 37 người ứng cử đại biểu Hội đồng nhân dân xã Đoài Phương khóa II, nhiệm kỳ 2026 – 2031",https://doaiphuong.hanoi.gov.vn/bau-cu-dbqh-hdnd-cac-cap/cong-bo-danh-sach-trich-ngang-37-nguoi-ung-cu-dai-bieu-hdnd-xa-doai-phuong-khoa-ii-nhiem-ky-2026-2031-2774260301212840892.htm?gidzl=15k_2jcaw140HBiCqxdW4m11km_5kxf06HRW2SgxuK90JR1UoBkpG44KibEJwB996nxZLpJhpc8gtANi4m,2026-03-01,wikipedia-ref,
wiki-09616-3,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-07-12,wikipedia-ref,
wiki-09619-1,"Quảng Oai tổ chức kỳ họp thứ 3 Hội đồng nhân dân xã, quyết nghị nhiều nội dung quan trọng về phát triển kinh tế – xã hội",https://quangoai.hanoi.gov.vn/tin-tuc-su-kien/quang-oai-to-chuc-ky-hop-thu-3-hdnd-xa-quyet-nghi-nhieu-noi-dung-quan-trong-ve-phat-trien-kinh-te-xa-hoi-267826062615052476.htm?gidzl=q44cPGXxzdZKNY9Z0c3pVTnP8cGSOF5nmLfnQ1zdf7V5MNPg4sNsTSmB9ciHPg8XdLX_E6Bk2-Ki3NhoUW,2026-06-26,wikipedia-ref,
wiki-09619-2,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-04-30,wikipedia-ref,
wiki-09619-3,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-05-13,wikipedia-ref,
wiki-09634-1,"Hội đồng nhân dân xã Cổ Đô tổ chức Kỳ họp thứ 3, thông qua nhiều nghị quyết quan trọng",https://hanoimoi.vn/hdnd-xa-co-do-to-chuc-ky-hop-thu-3-thong-qua-nhieu-nghi-quyet-quan-trong-1209717.html?gidzl=CU7nTCw0ebOr_lLon9kdKpZ-zddVdAPJ9VsbTToRyrKX_g9tq9cXLoYiydRIclK3UV-h9MB9K6OJou6cL0,2026-06-29,wikipedia-ref,
